"color","num_critic_for_reviews","duration","director_facebook_likes","actor_3_facebook_likes","actor_1_facebook_likes","gross","num_voted_users","cast_total_facebook_likes","facenumber_in_poster","num_user_for_reviews","content_rating","budget","title_year","actor_2_facebook_likes","imdb_score","aspect_ratio","movie_facebook_likes","imdb_binary"
"Color",267,123,521,265,13000,108521835,40123,13752,0,297,"PG-13",1.2e+08,2016,365,7.1,2.35,31000,1
"Color",102,107,368,1000,2000,100685880,100821,4046,0,554,"PG-13",1.2e+08,2003,1000,4.8,2.35,0,0
"Color",775,124,0,641,13000,126464904,456260,24098,0,2326,"R",1.3e+08,2012,9000,7,2.35,97000,1
"Color",71,77,50,537,886,64736114,36471,2682,0,69,"PG",1.2e+08,2002,799,5.4,1.85,459,0
"Color",476,109,662,1000,13000,93050117,338087,17689,0,814,"R",1.15e+08,2013,2000,6.6,2.35,61000,1
"Color",207,134,123,567,14000,57637485,183909,17159,0,666,"PG-13",1.05e+08,2004,850,6.7,2.35,0,1
"Color",492,117,294,1000,10000,58607007,182899,14161,0,630,"PG-13",1e+08,2014,2000,6.2,2.35,60000,1
"Color",284,135,0,87,690,43929341,57873,902,0,414,"PG",1.2e+08,2008,107,6.1,2.35,0,1
"Color",168,121,274,157,273,30212620,35066,993,4,196,"PG-13",1.2e+08,2010,216,5.3,1.85,0,0
"Color",283,117,446,877,10000,76418654,148280,12731,0,348,"PG-13",1.17e+08,2010,973,6.3,2.35,11000,1
"Color",539,124,364,1000,11000,89021735,387436,22004,0,892,"PG-13",1.2e+08,2013,10000,7,2.35,71000,1
"Color",359,140,0,4000,20000,380262555,520104,44042,4,3286,"PG-13",1.13e+08,2005,16000,7.6,2.35,10000,1
"Color",284,142,0,4000,20000,310675583,464310,42990,3,3516,"PG",1.15e+08,2002,16000,6.7,1.78,0,1
"Color",250,92,0,773,12000,289907418,585659,15013,0,593,"G",1.15e+08,2001,1000,8.1,1.85,0,1
"Color",440,138,446,929,20000,132550960,328067,23755,1,533,"PG-13",1.2e+08,2013,992,6.7,2.35,68000,1
"Color",320,136,0,1000,20000,474544677,534658,37723,1,3597,"PG",1.15e+08,1999,14000,6.5,2.35,13000,1
"Color",257,98,16,12000,16000,187165546,150618,43286,3,195,"PG",1.35e+08,2013,15000,7.3,2.35,28000,1
"Color",152,153,610,617,12000,40911830,55994,15046,0,454,"R",1.15e+08,2002,836,6,2.35,0,1
"Color",231,120,19,9000,26000,47952020,37750,46719,2,134,"PG-13",1.15e+08,2016,11000,6.1,2.35,16000,1
"Color",348,101,473,429,833,190871240,167085,2690,0,491,"PG-13",1.25e+08,2014,809,5.9,2.35,62000,0
"Color",738,91,0,13,39,274084951,582917,87,0,1885,"PG-13",1e+08,2013,23,7.8,2.35,147000,1
"Color",93,108,79,268,650,67155742,62271,1569,1,277,"PG-13",1.16e+08,1997,293,5.8,2.35,0,0
"Color",369,100,128,78,596,56114221,110486,1261,3,695,"PG-13",1.2e+08,2015,360,4.3,2.35,41000,0
"Color",179,108,189,1000,49000,250863268,234480,55486,2,444,"PG",1.1e+08,2006,3000,6.4,1.85,3000,1
"Color",358,114,62,884,12000,155181732,147497,16718,0,499,"PG-13",1.1e+08,2015,2000,6.1,2.35,52000,1
"Color",160,119,55,387,811,125332007,149680,2958,3,328,"PG-13",1.1e+08,1997,766,6.5,2.35,0,1
"Color",192,142,776,1000,13000,113330342,207613,19454,1,1144,"R",1.1e+08,2000,2000,7.1,2.35,4000,1
"Color",198,125,0,350,11000,125531634,284852,19359,0,627,"PG-13",1.1e+08,2004,8000,6.4,2.35,0,1
"Color",233,126,218,322,11000,186336103,348861,22722,2,798,"PG-13",1.2e+08,2005,11000,6.5,2.35,0,1
"Color",263,119,124,1000,14000,129995817,154621,22622,0,258,"PG-13",1.1e+08,2015,5000,6.3,2.35,27000,1
" Black and White",267,170,17000,827,29000,102608827,264318,34582,0,799,"PG-13",1.1e+08,2004,3000,7.5,2.35,0,1
"Color",184,85,11,116,480,42776259,53160,1173,1,121,"PG",1.12e+08,2010,392,4.9,2.35,0,0
