"color","num_critic_for_reviews","duration","director_facebook_likes","actor_3_facebook_likes","actor_1_facebook_likes","gross","num_voted_users","cast_total_facebook_likes","facenumber_in_poster","num_user_for_reviews","content_rating","budget","title_year","actor_2_facebook_likes","imdb_score","aspect_ratio","movie_facebook_likes","imdb_binary"
"Color",396,144,0,1000,34000,154985087,148379,49684,6,622,"PG-13",1.78e+08,2016,13000,7.3,2.35,54000,1
"Color",645,152,22000,11000,23000,533316061,1676169,57802,0,4667,"PG-13",1.85e+08,2008,13000,9,2.35,37000,1
"Color",408,96,0,262,1000,292979556,665575,2635,1,704,"PG",1.75e+08,2009,848,8.3,1.85,27000,1
"Color",219,94,11,459,1000,198332128,114553,2579,2,187,"PG",1.75e+08,2009,973,6.5,2.35,0,1
"Color",486,126,4000,4000,21000,318298180,696338,39252,3,1055,"PG-13",1.4e+08,2008,12000,7.9,2.35,10000,1
"Color",682,126,17000,1000,17000,73820094,245333,36017,0,678,"PG",1.7e+08,2011,16000,7.5,1.85,42000,1
"Color",85,106,188,582,10000,113745408,129601,15870,2,648,"PG-13",1.7e+08,1999,4000,4.8,1.85,0,0
"Color",264,112,357,595,5000,102176165,117927,9131,2,501,"PG-13",1.45e+08,2008,3000,5.2,2.35,0,0
"Color",418,123,452,329,10000,161087183,118992,11287,8,971,"PG-13",1.75e+08,2016,336,6.9,2.35,80000,1
"Color",186,96,293,7000,87000,100289690,115099,108016,0,257,"PG",1.75e+08,2007,11000,5.4,2.35,2000,0
"Color",585,113,218,509,10000,100189501,431620,12652,1,741,"PG-13",1.78e+08,2014,854,7.9,2.35,77000,1
"Color",91,176,58,60,711,88246220,144337,1004,0,309,"PG-13",1.75e+08,1995,60,6.1,1.85,0,1
"Color",250,118,208,570,23000,150167630,174578,26683,4,534,"PG-13",1.75e+08,2009,2000,5.8,2.35,0,0
"Color",536,95,0,384,1000,356454367,345198,2944,1,773,"PG",1.75e+08,2015,767,8.3,1.85,118000,1
"Color",370,106,4000,591,19000,362645141,106072,32921,0,398,"PG",1.75e+08,2016,13000,7.8,1.85,65000,1
"Color",453,124,4000,4000,21000,312057433,522371,48638,4,723,"PG-13",2e+08,2010,19000,7,2.35,18000,1
"Color",416,132,274,11000,26000,155111815,228554,72881,0,710,"PG-13",1.7e+08,2012,17000,6.1,2.35,53000,1
"Color",401,97,171,846,11000,241407328,252257,15516,2,634,"PG",1.8e+08,2014,2000,7,2.35,89000,1
"Color",521,130,198,884,10000,208543795,317542,14363,0,620,"PG-13",1.7e+08,2014,2000,7.6,1.85,45000,1
"Color",218,128,47,982,18000,38297305,116994,20965,2,324,"PG-13",1.75e+08,2013,1000,6.3,2.35,35000,1
"Color",576,136,94,2000,19000,259746958,496749,36188,1,742,"PG-13",1.7e+08,2014,11000,7.8,2.35,55000,1
"Color",226,93,31,213,4000,238371987,138661,4628,2,173,"PG",1.65e+08,2010,225,6.4,2.35,0,1
"Color",443,130,663,604,2000,93417865,128306,5046,2,497,"PG",1.9e+08,2015,638,6.5,2.2,37000,1
"Color",384,102,38,562,756,222487711,279093,2963,0,433,"PG",1.65e+08,2014,719,7.9,2.39,41000,1
"Color",377,101,66,833,975,189412677,272534,4451,1,345,"PG",1.65e+08,2012,931,7.8,2.35,40000,1
"Color",188,100,0,267,15000,665426,120798,16264,0,444,"G",1.65e+08,2004,726,6.6,2.35,10000,1
"Color",286,120,776,535,890,102315545,58137,3233,0,520,"PG-13",1.65e+08,2016,812,5.5,2.35,67000,0
"Color",288,98,255,759,18000,217387997,485430,20453,0,492,"PG",1.65e+08,2010,953,8.2,2.35,33000,1
"Color",280,109,84,191,648,150350192,305340,1769,0,1676,"R",2e+08,2003,284,6.4,2.35,0,1
"Color",653,121,571,3000,14000,333130696,682155,32438,3,1097,"PG-13",1.7e+08,2014,14000,8.1,2.35,96000,1
"Color",712,169,22000,6000,11000,187991439,928227,31488,1,2725,"PG-13",1.65e+08,2014,11000,8.6,2.35,349000,1
"Color",642,148,22000,23000,29000,292568851,1468200,81115,0,2803,"PG-13",1.6e+08,2010,27000,8.8,2.35,175000,1
"Color",187,106,357,4000,23000,144512310,272223,45327,2,988,"PG-13",3.8e+07,2001,14000,6.7,2.35,14000,1
"Color",362,166,21000,919,11000,127490802,459346,13333,2,822,"PG-13",1.5e+08,2008,1000,7.8,2.35,23000,1
